activity,project,workers,duration,time,duration_seconds,start_time,end_time
chart reports grouped incorrectly,SURVEY MONKEY,Steve Jobs,0:44:13,02:03pm November 2nd - 02:47pm November 2nd,2653,2019-11-02T14:03:18+05:45,2019-11-02T14:47:31+05:45
test and deploy to staging,SURVEY MONKEY,Steve Jobs,0:25:17,09:01pm November 1st - 09:26pm November 1st,1517,2019-11-01T21:01:38+05:45,2019-11-01T21:26:55+05:45
test and deploy to staging,SURVEY MONKEY,Steve Jobs,0:35:56,07:56pm November 1st - 08:32pm November 1st,2156,2019-11-01T19:56:32+05:45,2019-11-01T20:32:28+05:45
test and deploy to staging,SURVEY MONKEY,Steve Jobs,0:10:58,07:40pm November 1st - 07:51pm November 1st,658,2019-11-01T19:40:44+05:45,2019-11-01T19:51:42+05:45
fix ui in weights,SURVEY MONKEY,Steve Jobs,0:01:14,07:39pm November 1st - 07:40pm November 1st,74,2019-11-01T19:39:30+05:45,2019-11-01T19:40:44+05:45
fix ui in weights,SURVEY MONKEY,Steve Jobs,0:11:55,07:19pm November 1st - 07:31pm November 1st,715,2019-11-01T19:19:55+05:45,2019-11-01T19:31:50+05:45
fix ui in weights,SURVEY MONKEY,Steve Jobs,0:08:25,06:57pm November 1st - 07:06pm November 1st,505,2019-11-01T18:57:48+05:45,2019-11-01T19:06:13+05:45
implement signup,JOT FORM,Dan Abrahamov,2:30:23,03:46pm November 1st - 06:17pm November 1st,9023,2019-11-01T15:46:38+05:45,2019-11-01T18:17:01+05:45
854-as-a-super-admin-i-should-be-able-to-view-list-of-addons-request,SURVEY MONKEY,Dan Abrahamov,1:44:16,11:46am November 1st - 01:30pm November 1st,6256,2019-11-01T11:46:42+05:45,2019-11-01T13:30:58+05:45
test merge request features,SURVEY MONKEY,Steve Jobs,0:56:06,09:04am November 1st - 10:00am November 1st,3366,2019-11-01T09:04:26+05:45,2019-11-01T10:00:32+05:45
Estimation,KAHOOT,Dan Abrahamov,0:24:03,04:35pm October 31st - 04:59pm October 31st,1443,2019-10-31T16:35:02+05:45,2019-10-31T16:59:05+05:45
implement signup,JOT FORM,Dan Abrahamov,1:53:33,02:41pm October 31st - 04:34pm October 31st,6813,2019-10-31T14:41:26+05:45,2019-10-31T16:34:59+05:45
implement signup,JOT FORM,Dan Abrahamov,0:36:23,01:55pm October 31st - 02:31pm October 31st,2183,2019-10-31T13:55:14+05:45,2019-10-31T14:31:37+05:45
release build,KAHOOT,Dan Abrahamov,0:21:44,01:33pm October 31st - 01:55pm October 31st,1304,2019-10-31T13:33:27+05:45,2019-10-31T13:55:11+05:45
bug fix,KAHOOT,Dan Abrahamov,1:08:50,12:24pm October 31st - 01:33pm October 31st,4130,2019-10-31T12:24:37+05:45,2019-10-31T13:33:27+05:45
bug fix,KAHOOT,Dan Abrahamov,1:43:57,10:37am October 31st - 12:21pm October 31st,6237,2019-10-31T10:37:03+05:45,2019-10-31T12:21:00+05:45
remove trial for backyard betty,SURVEY MONKEY,Steve Jobs,0:13:42,10:12am October 31st - 10:26am October 31st,822,2019-10-31T10:12:36+05:45,2019-10-31T10:26:18+05:45
chart record are grouped incorrectly,SURVEY MONKEY,Steve Jobs,0:17:23,06:21pm October 30th - 06:39pm October 30th,1043,2019-10-30T18:21:50+05:45,2019-10-30T18:39:13+05:45
list addon requests,SURVEY MONKEY,Steve Jobs,0:27:41,05:54pm October 30th - 06:21pm October 30th,1661,2019-10-30T17:54:09+05:45,2019-10-30T18:21:50+05:45
Backlog groominng,KAHOOT,Dan Abrahamov,0:59:00,05:44pm October 30th - 06:43pm October 30th,3540,2019-10-30T17:44:44+05:45,2019-10-30T18:43:44+05:45
list addon requests,SURVEY MONKEY,Steve Jobs,1:54:05,03:48pm October 30th - 05:42pm October 30th,6845,2019-10-30T15:48:26+05:45,2019-10-30T17:42:31+05:45
list addon requests,SURVEY MONKEY,Steve Jobs,0:00:58,03:21pm October 30th - 03:22pm October 30th,58,2019-10-30T15:21:04+05:45,2019-10-30T15:22:02+05:45
api to configure addons,SURVEY MONKEY,Steve Jobs,0:18:37,03:02pm October 30th - 03:21pm October 30th,1117,2019-10-30T15:02:27+05:45,2019-10-30T15:21:04+05:45
release build,KAHOOT,Dan Abrahamov,2:36:34,02:59pm October 30th - 05:36pm October 30th,9394,2019-10-30T14:59:27+05:45,2019-10-30T17:36:01+05:45
release build,KAHOOT,Dan Abrahamov,0:20:55,01:59pm October 30th - 02:20pm October 30th,1255,2019-10-30T13:59:08+05:45,2019-10-30T14:20:03+05:45
api to configure addons,SURVEY MONKEY,Steve Jobs,1:49:37,11:52am October 30th - 01:42pm October 30th,6577,2019-10-30T11:52:47+05:45,2019-10-30T13:42:24+05:45
Make room private,KAHOOT,Dan Abrahamov,2:20:18,11:38am October 30th - 01:59pm October 30th,8418,2019-10-30T11:38:49+05:45,2019-10-30T13:59:07+05:45
api to configure addons,SURVEY MONKEY,Steve Jobs,0:00:32,11:16am October 30th - 11:16am October 30th,32,2019-10-30T11:16:04+05:45,2019-10-30T11:16:36+05:45
api to configure addons,SURVEY MONKEY,Steve Jobs,0:30:14,09:10pm October 28th - 09:40pm October 28th,1814,2019-10-28T21:10:04+05:45,2019-10-28T21:40:18+05:45
deploy to server,JOT FORM,Prakash Sharma,0:00:10,08:13pm October 28th - 08:13pm October 28th,10,2019-10-28T20:13:43+05:45,2019-10-28T20:13:53+05:45
client call,JOT FORM,Prakash Sharma,2:17:39,05:53pm October 28th - 08:10pm October 28th,8259,2019-10-28T17:53:03+05:45,2019-10-28T20:10:42+05:45
Signup flow,JOT FORM,Dan Abrahamov,2:51:19,03:31pm October 28th - 06:22pm October 28th,10279,2019-10-28T15:31:39+05:45,2019-10-28T18:22:58+05:45
rails send email address to hubspot,JOT FORM,Prakash Sharma,8:07:03,09:45am October 28th - 05:53pm October 28th,29223,2019-10-28T09:45:58+05:45,2019-10-28T17:53:01+05:45
Leaderboard from lobby,KAHOOT,Dan Abrahamov,0:00:05,01:58pm October 25th - 01:58pm October 25th,5,2019-10-25T13:58:16+05:45,2019-10-25T13:58:21+05:45
Leaderboard from lobby,KAHOOT,Dan Abrahamov,2:37:58,11:07am October 25th - 01:45pm October 25th,9478,2019-10-25T11:07:17+05:45,2019-10-25T13:45:15+05:45
Leaderboard from lobby,KAHOOT,Dan Abrahamov,0:25:55,10:39am October 25th - 11:05am October 25th,1555,2019-10-25T10:39:42+05:45,2019-10-25T11:05:37+05:45
Leaderboard from lobby,KAHOOT,Dan Abrahamov,0:14:49,04:56pm October 24th - 05:11pm October 24th,889,2019-10-24T16:56:25+05:45,2019-10-24T17:11:14+05:45
Leaderboard from lobby,KAHOOT,Dan Abrahamov,0:54:44,03:55pm October 24th - 04:50pm October 24th,3284,2019-10-24T15:55:48+05:45,2019-10-24T16:50:32+05:45
api to configure addons,SURVEY MONKEY,Steve Jobs,1:46:39,11:36am October 24th - 01:23pm October 24th,6399,2019-10-24T11:36:58+05:45,2019-10-24T13:23:37+05:45
Redesign Boost Modal in Party Room,KAHOOT,Dan Abrahamov,1:11:51,11:01am October 24th - 12:13pm October 24th,4311,2019-10-24T11:01:16+05:45,2019-10-24T12:13:07+05:45
go through sheet review,GS Automation,Prakash Sharma,22:28:38,05:32pm October 23rd - 04:01pm October 24th,80918,2019-10-23T17:32:45+05:45,2019-10-24T16:01:23+05:45
review request,SURVEY MONKEY,Steve Jobs,0:10:40,05:00pm October 23rd - 05:10pm October 23rd,640,2019-10-23T17:00:11+05:45,2019-10-23T17:10:51+05:45
api to create new user,JOT FORM,Prakash Sharma,0:46:00,04:04pm October 23rd - 04:50pm October 23rd,2760,2019-10-23T16:04:31+05:45,2019-10-23T16:50:31+05:45
addons db design,SURVEY MONKEY,Steve Jobs,0:04:40,04:01pm October 23rd - 04:06pm October 23rd,280,2019-10-23T16:01:56+05:45,2019-10-23T16:06:36+05:45
addons db design,SURVEY MONKEY,Steve Jobs,0:38:23,03:23pm October 23rd - 04:01pm October 23rd,2303,2019-10-23T15:23:27+05:45,2019-10-23T16:01:50+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,2:00:16,03:18pm October 23rd - 05:18pm October 23rd,7216,2019-10-23T15:18:26+05:45,2019-10-23T17:18:42+05:45
42: hubspot integration,JOT FORM,Prakash Sharma,0:07:16,02:12pm October 23rd - 02:19pm October 23rd,436,2019-10-23T14:12:12+05:45,2019-10-23T14:19:28+05:45
42: add phone to users,JOT FORM,Prakash Sharma,0:30:08,01:42pm October 23rd - 02:12pm October 23rd,1808,2019-10-23T13:42:04+05:45,2019-10-23T14:12:12+05:45
42: add phone to users,JOT FORM,Prakash Sharma,1:00:17,12:41pm October 23rd - 01:42pm October 23rd,3617,2019-10-23T12:41:47+05:45,2019-10-23T13:42:04+05:45
42: add phone to users,JOT FORM,Prakash Sharma,0:24:55,12:08pm October 23rd - 12:33pm October 23rd,1495,2019-10-23T12:08:08+05:45,2019-10-23T12:33:03+05:45
